,,,,,,涨跌,,,价值,,价值,,价值,触发价,触发价,占比,持仓,,年限,税前收益,税后收益,收益,(万元),
128079,英联转债,127.799,0.19%,英联股份,19.11,0.26%,5.85,13.54,141.14,-9.45%,购买,A+,购买,9.48,17.6,5.80%,-,2025/10/21,5.803,-1.41%,-1.93%,购买,34.48,
123031,晶瑞转债,162,-0.12%,晶瑞股份,32.9,-0.27%,8.91,18.38,179,-9.50%,购买,A+,购买,12.87,23.89,3.70%,-,2025/8/28,5.655,-5.80%,-6.26%,购买,47.85,
113550,常汽转债,130.2,0.67%,常熟汽饰,13.9,0.65%,1.49,9.93,139.98,-6.99%,购买,AA-,购买,6.95,12.91,25.50%,-,2025/11/17,5.877,-1.15%,-1.77%,购买,72.97,
113539,圣达转债,133.05,0.11%,圣达生物,39.63,-0.53%,5.04,28.78,137.7,-3.38%,购买,A+,购买,20.15,37.41,6.70%,-,2025/7/2,5.499,-1.66%,-2.31%,购买,33.95,
128074,游族转债,145.999,0.14%,游族网络?R,25.6,2.36%,4.17,17.06,150.06,-2.71%,购买,AA,购买,11.94,22.18,5.10%,-,2025/9/23,5.726,-3.38%,-3.96%,购买,1237.51,
113548,石英转债,138.66,-0.95%,石英股份?R,22,6.38%,5.18,15.25,144.26,-3.88%,购买,AA-,购买,10.68,19.82,4.90%,-,2025/10/27,5.819,-1.83%,-2.52%,购买,1068.04,
123003,蓝思转债?!,142.3,0.71%,蓝思科技?R,14.96,0.94%,3.48,10.440**,143.3,-0.70%,购买,AA+,购买,7.31,13.57,2.10%,20.08%,2023/12/8,3.932,-6.48%,-6.89%,购买,598.79,
128025,特一转债,112.801,0.79%,特一药业,17.54,1.62%,3.16,15.450*,113.53,-0.64%,购买,AA-,购买,10.81,20.09,9.60%,2.76%,2023/12/6,3.926,-0.70%,-1.15%,购买,520.29,
113538,安图转债,147.23,-0.35%,安图生物?R,94.51,-0.93%,17.11,64.11,147.42,-0.13%,购买,AA,购买,44.88,83.34,1.70%,0.08%,2025/6/27,5.485,-4.46%,-4.92%,购买,8.84,
113520,百合转债?!,155.28,0.72%,梦百合,22.19,0.41%,3.39,14.28,155.39,-0.07%,购买,AA-,购买,10,18.56,3.20%,10.91%,2024/11/8,4.852,-6.07%,-6.58%,购买,12.81,
128020,水晶转债?!,136.353,0.26%,水晶光电?R,16.66,-0.06%,4.6,12.230*,136.22,0.10%,购买,AA,购买,8.56,15.9,3.90%,27.62%,2023/11/16,3.871,-5.22%,-5.70%,购买,113.22,
123017,寒锐转债,144.527,0.33%,寒锐钴业?R,82.9,-0.17%,12.87,57.49,144.2,0.23%,购买,AA-,购买,40.24,74.74,2.00%,32.36%,2024/11/20,4.885,-5.38%,-5.75%,购买,82.05,
123011,德尔转债,126.09,0.01%,德尔股份,43.6,-0.62%,2.36,34.66,125.79,0.24%,购买,AA-,购买,24.26,45.06,5.80%,26.45%,2024/7/18,4.542,-1.65%,-2.29%,购买,4.29,
128068,和而转债,145.4,1.11%,和而泰?R,13.22,0.76%,6.04,9.09,145.43,-0.02%,购买,AA-,购买,6.36,11.82,3.50%,0.61%,2025/6/4,5.422,-4.58%,-4.99%,购买,105.65,
113533,参林转债?!,146.08,-0.71%,大参林?R,53.15,0.47%,7.87,36.5,145.62,0.32%,购买,AA,购买,25.55,47.45,1.00%,5.69%,2025/4/2,5.249,-4.83%,-5.25%,购买,42.67,
128052,凯龙转债,178.2,0.85%,凯龙股份?R,12.02,1.01%,2.59,6.77,177.55,0.37%,购买,AA,购买,4.74,8.8,1.10%,0.98%,2024/12/21,4.97,-8.57%,-9.04%,购买,155.82,
128030,天康转债,164.5,0.61%,天康生物?R,13.1,-0.76%,3.66,8.05,162.73,1.09%,购买,AA,购买,5.63,10.46,1.10%,2.45%,2023/12/22,3.97,-9.31%,-9.79%,购买,373.49,
113537,文灿转债,121.41,0.81%,文灿股份,24.14,0.17%,2.38,19.93,121.12,0.24%,购买,AA-,购买,13.95,25.91,14.70%,0.55%,2025/6/9,5.436,0.09%,-0.60%,购买,374.69,
123020,富祥转债,129.989,-0.12%,富祥股份,19.25,-1.18%,3.81,14.93,128.94,0.81%,购买,AA-,购买,10.45,19.41,6.60%,4.43%,2025/3/1,5.162,-1.40%,-2.08%,购买,9.49,
113521,科森转债,126.78,1.71%,科森科技,10.93,2.05%,2.67,8.7,125.63,0.92%,购买,AA,购买,6.09,11.31,11.40%,21.55%,2024/11/16,4.874,-1.98%,-2.52%,购买,94.42,
128038,利欧转债,179.398,0.67%,利欧股份?R,3.04,0.66%,2.49,1.720*,176.74,1.50%,购买,AA,购买,1.2,2.24,0.60%,0.28%,2024/3/22,4.219,-10.40%,-10.90%,购买,744.72,
123022,长信转债?!,181.5,1.50%,长信科技?R,11.21,0.72%,4.68,6.25,179.36,1.19%,购买,AA,购买,4.38,8.12,1.50%,2.53%,2025/3/18,5.208,-8.49%,-8.94%,购买,273.54,
