,,,,,,涨跌,,,价值,,价值,,价值,触发价,触发价,占比,持仓,,年限,税前收益,税后收益,收益,(万元),,,
123034,通光转债,166,-0.60%,通光线缆,14.53,1.68%,4.78,7.98,182.08,-8.83%,购买,A+,购买,5.59,10.37,6.10%,-,2025/11/3,5.573,2.97,-5.97%,-6.50%,购买,200707.9,157.17,
113555,振德转债,187.4,-0.40%,振德医疗,40.98,0.47%,4.83,20.04,204.49,-8.36%,购买,AA-,购买,14.03,26.05,7.70%,-,2025/12/18,5.696,4.4,-7.02%,-7.67%,购买,69695.23,179.04,
128079,英联转债,198.41,-8.57%,英联股份,28.86,-9.81%,8.83,13.54,213.15,-6.92%,购买,A+,购买,9.48,17.6,3.80%,-,2025/10/21,5.537,2.14,-9.12%,-9.61%,购买,102029.8,191.49,
128086,国轩转债,147.9,0.46%,国轩高科?R,18.38,-0.22%,2.31,12.19,150.78,-1.91%,购买,AA,购买,8.53,15.24,8.90%,-,2025/12/17,5.693,18.5,-4.35%,-4.80%,购买,20098.05,145.99,
123020,富祥转债,191,-2.35%,富祥股份,28.71,0.31%,6.05,14.93,192.3,-0.68%,购买,AA-,购买,10.45,19.41,1.40%,33.03%,2025/3/1,4.896,1.168,-9.13%,-9.76%,购买,66211.93,190.32,
128043,东音转债,224.458,-1.13%,东音股份,14.16,0.35%,20.58,6.27*,225.84,-0.61%,购买,AA-,购买,4.39,8.15,0.40%,0.35%,2024/8/2,4.318,0.812,-14.56%,-15.05%,购买,20299.12,223.85,
113511,千禾转债?!,148.69,0.74%,千禾味业,27.39,2.28%,8.41,18.31,149.59,-0.60%,购买,AA-,购买,12.82,23.8,1.50%,25.46%,2024/6/19,4.197,1.851,-6.49%,-6.99%,购买,7552.24,148.09,
127015,希望转债,162.702,-1.82%,新希望?R,32.35,-1.61%,5.23,19.78,163.55,-0.52%,购买,AAA,购买,13.85,25.71,2.90%,-,2026/1/2,5.737,40,-6.65%,-6.94%,购买,26991.14,162.18,
123021,万信转2?!,173.431,6.62%,万达信息?R,23.57,6.41%,7.07,13.6,173.31,0.07%,购买,AA,购买,9.52,17.68,0.50%,20.82%,2025/3/3,4.901,1.264,-7.69%,-8.26%,购买,30897.79,173.5,
123029,英科转债,303.22,8.49%,英科医疗,49.15,8.93%,7.54,16.17,303.96,-0.24%,购买,AA-,购买,11.32,21.02,1.70%,0.57%,2025/8/15,5.353,1.804,-13.94%,-14.82%,购买,46942.85,302.98,
