,bcode,bname,scode,sname,xcode,amount,marketprice,convprice,firstdayprice,ipo_date,issue_date,ballot,return,perreturn
0,128045,机电转债,002013,中航机电,072013,21.0,,7.66,,2018-08-27,,0.12%,,83.7
1,128044,岭南转债,002717,岭南股份,072717,6.6,,10.7,,2018-08-14,,,,
2,123015,蓝盾转债,300297,蓝盾股份,370297,5.38,,7.89,,2018-08-13,,1.27%,,7.86
3,113517,曙光转债,603019,中科曙光,754019,11.2,108.5,51.28,106.36,2018-08-06,2018-08-23,1.93%,0.02%,0.0
4,128043,东音转债,002793,东音股份,072793,2.81,94.82,13.47,96.32,2018-08-02,2018-08-27,0.21%,-0.01%,46.91
5,113516,吴银转债,603323,吴江银行,754323,25.0,103.84,6.34,99.2,2018-08-02,2018-08-20,0.51%,-0.01%,19.66
6,128042,凯中转债,002823,凯中精密,072823,4.16,,13.25,,2018-07-30,2018-09-03,0.20%,,50.47
7,123014,凯发转债,300407,凯发电气,370407,3.5,93.18,8.15,91.15,2018-07-27,2018-08-21,0.45%,-0.04%,22.01
8,113515,高能转债,603588,高能环境,754588,8.4,99.99,,99.34,2018-07-26,2018-08-27,0.34%,-0.01%,29.71
9,123013,横河转债,300539,横河模具,370539,1.4,92.83,9.26,,2018-07-26,2018-08-20,0.15%,,66.77
10,123012,万顺转债,300057,万顺股份,370057,9.5,91.89,6.47,91.92,2018-07-20,2018-08-29,1.73%,-0.13%,5.8
11,113514,威帝转债,603023,威帝股份,754023,2.0,,5.92,,2018-07-20,2018-08-13,0.28%,,35.32
12,123011,德尔转债,300473,德尔股份,370473,5.65,98.3,35.26,96.34,2018-07-18,2018-08-14,0.33%,-0.01%,30.74
13,128041,盛路转债,002446,盛路通信,072446,10.0,100.46,6.88,96.83,2018-07-17,2018-08-14,0.61%,-0.01%,16.43
14,110045,海澜转债,600398,海澜之家,704398,30.0,99.2,12.4,100.8,2018-07-13,2018-07-31,,,
15,113513,安井转债,603345,安井食品,754345,5.0,106.65,35.46,110.43,2018-07-12,2018-07-31,,,
16,113512,景旺转债,603228,景旺电子,754228,9.78,118.4,50.01,120.45,2018-07-06,2018-07-24,0.23%,0.04%,4.35
17,123010,博世转债,300422,博世科,370422,4.3,95.0,14.3,97.36,2018-07-05,2018-08-14,0.36%,0.00%,27.72
18,127007,湖广转债,000665,湖北广电,070665,17.34,93.78,10.16,93.16,2018-06-28,2018-08-01,1.01%,-0.06%,987.37
19,110044,广电转债,600831,广电网络,733831,8.0,93.91,6.91,95.8,2018-06-27,2018-07-24,0.41%,-0.02%,24.16
20,113511,千禾转债,603027,千禾味业,754027,3.56,93.52,25.86,98.87,2018-06-20,2018-07-10,0.14%,0.00%,70.06
21,113510,再升转债,603601,再升科技,754601,1.14,93.69,11.32,95.81,2018-06-19,2018-07-13,0.06%,0.00%,158.6
22,128040,华通转债,002758,华通医药,072758,2.24,90.6,11.45,96.6,2018-06-14,2018-07-13,0.04%,0.00%,232.06
23,128039,三力转债,002224,三力士,072224,6.2,98.62,7.38,89.5,2018-06-08,2018-06-29,0.13%,-0.01%,74.95
24,113509,新泉转债,603179,新泉股份,754179,4.5,99.14,25.34,,2018-06-04,,0.03%,,326.41
25,113508,新凤转债,603225,新凤鸣,754225,21.53,103.31,23.74,99.52,2018-04-26,2018-05-16,0.23%,0.00%,42.81
26,113507,天马转债,603668,天马科技,754668,3.05,91.91,10.98,,2018-04-17,2018-05-07,,,
27,113506,鼎信转债,603421,鼎信通讯,754421,6.0,95.35,21.65,106.16,2018-04-16,2018-05-14,0.07%,0.01%,138.8
