bcode,scode,pb,convertprice,huishoujia,qiangshujia,expire
110030,600185.XSHG,1.16,6.94,4.86,9.02,43824
132013,600019.XSHG,1.05,9.55,-,-,44159
132005,601601.XSHG,2.14,36.65,-,-,44173
113008,601727.XSHG,1.29,10.28,7.2,13.36,44229
110031,600271.XSHG,5.37,42.38,29.67,55.09,44359
132007,601928.XSHG,1.21,15.36,12.29,19.97,44500
132004,600170.XSHG,1.03,6.48,4.54,8.42,44505
123001,300058.XSHE,1.82,9.79,6.85,12.73,44548
110032,600031.XSHG,2.5,7.25,5.08,9.43,44565
110033,600755.XSHG,0.54,8.61,6.03,11.19,44566
110034,600998.XSHG,1.53,18.42,12.89,23.95,44576
113009,601238.XSHG,1.44,14.86,10.4,19.32,44583
128010,002245.XSHE,1.74,9.28,6.5,12.06,44583
113010,601199.XSHG,1.4,6.02,4.82,7.83,44638
132008,600350.XSHG,0.75,9.62,6.73,12.51,44675
127003,000861.XSHE,1.65,3.5,2.45,4.55,44720
128013,002325.XSHE,1.13,9.98,6.99,12.97,44771
132011,600633.XSHG,1.4,25,17.5,32.5,44790
110038,600566.XSHG,7.27,40.04,20.02,50.05,44877
128029,002078.XSHE,1.93,8.75,6.12,11.38,44917
113019,601966.XSHG,2.09,18.84,13.19,24.49,44986
113011,601818.XSHG,0.64,4.13,-,5.37,45002
113012,601311.XSHG,1.67,13.44,9.41,17.47,45009
128014,002753.XSHE,2.94,13.53,9.47,17.59,45033
132014,601117.XSHG,1.14,7.66,5.36,9.96,45040
127004,000700.XSHE,1.13,7.72,5.4,10.04,45079
128015,002279.XSHE,3.32,12.87,9.01,16.73,45085
113013,601211.XSHG,1.04,19.8,-,25.74,45113
113514,603023.XSHG,3.62,5.92,4.14,7.7,45127
123014,300407.XSHE,2.04,8.15,5.71,10.6,45134
128016,002271.XSHE,3.17,22.55,15.79,29.32,45194
113014,601222.XSHG,0.84,8.76,6.13,11.39,45226
128017,002597.XSHE,2.6,23.32,16.32,30.32,45231
113015,601012.XSHG,2.54,22.98,16.09,29.87,45231
113016,601127.XSHG,3.2,22.76,15.93,29.59,45236
128018,002527.XSHE,1.31,11.83,8.28,15.38,45236
128019,002318.XSHE,1.83,8.22,5.75,10.69,45238
113502,603822.XSHG,2.53,45.27,31.69,58.85,45239
128020,002273.XSHE,2.72,22.9,16.03,29.77,45246
110040,600183.XSHG,3.95,11.62,-,15.11,45253
123002,300388.XSHE,2.39,11.61,8.13,15.09,45254
128021,002562.XSHE,1.96,11.23,7.86,14.6,45258
128022,002707.XSHE,3.27,11.02,7.71,14.33,45261
128024,002142.XSHE,1.31,18.01,-,23.41,45265
128025,002728.XSHE,3.02,16.1,11.27,20.93,45266
123003,300433.XSHE,2.73,16.08,11.26,20.9,45268
128023,002284.XSHE,1.39,10.34,7.24,13.44,45268
128026,002772.XSHE,1.02,11.64,8.15,15.13,45273
128027,002815.XSHE,5.88,15.11,10.58,19.64,45275
113503,603738.XSHG,3.92,17.99,12.59,23.39,45275
123004,300197.XSHE,1.91,8.23,5.76,10.7,45278
123006,300059.XSHE,4.31,11.36,7.95,14.77,45280
110041,600863.XSHG,1.23,2.92,2.04,3.8,45281
128028,002460.XSHE,7.4,47.61,33.33,61.89,45281
128030,002100.XSHE,1.83,8.15,5.71,10.6,45282
110042,600372.XSHG,3.17,14.23,9.96,18.5,45284
128032,002472.XSHE,1.45,9.99,6.99,12.99,45285
128033,002658.XSHE,2.2,9.03,6.32,11.74,45287
113017,601929.XSHG,0.98,2.96,2.07,3.85,45287
123007,300409.XSHE,4.27,24.99,17.49,32.49,45288
113018,601128.XSHG,1.13,5.76,-,7.49,45310
128034,002807.XSHE,1,5.67,-,7.37,45317
110043,600908.XSHG,1.03,6.7,-,8.71,45321
123008,300601.XSHE,20.61,31.23,21.86,40.6,45323
128035,002008.XSHE,5.64,52.5,36.75,68.25,45328
113504,603989.XSHG,4.54,21.73,15.21,28.25,45352
113505,603618.XSHG,1.85,7.29,5.1,9.48,45356
123009,300568.XSHE,4.07,27.69,19.38,36,45358
128036,002548.XSHE,1.67,9.62,6.73,12.51,45360
127005,000783.XSHE,1.04,7.45,-,9.69,45363
127006,000623.XSHE,0.92,20.82,14.57,27.07,45364
128037,002542.XSHE,2.39,8.03,5.62,10.44,45366
128038,002131.XSHE,1.34,2.75,1.93,3.58,45373
113506,603421.XSHG,3.53,21.65,15.15,28.14,45398
113507,603668.XSHG,2.63,10.98,7.69,14.27,45399
113508,603225.XSHG,2.51,23.74,16.62,30.86,45407
113509,603179.XSHG,2.74,25.34,17.74,32.94,45446
128039,002224.XSHE,1.97,5.84,4.09,7.59,45450
128040,002758.XSHE,2.74,11.45,8.02,14.88,45456
113510,603601.XSHG,3.2,11.32,9.06,14.72,45461
113511,603027.XSHG,4.04,25.86,18.1,33.62,45462
110044,600831.XSHG,1.12,6.91,4.84,8.98,45470
127007,000665.XSHE,0.84,10.16,7.11,13.21,45471
123010,300422.XSHE,3.6,14.3,10.01,18.59,45478
113512,603228.XSHG,6.85,50.01,35.01,65.01,45479
113513,603345.XSHG,4.45,35.46,24.82,46.1,45485
110045,600398.XSHG,4.01,12.4,8.68,16.12,45486
128041,002446.XSHE,2.1,6.88,4.82,8.94,45489
123011,300473.XSHE,2.07,35.26,24.68,45.84,45491
123012,300057.XSHE,1.04,6.47,4.53,8.41,45493
113515,603588.XSHG,2.54,9.38,6.57,12.19,45499
123013,300539.XSHE,4.47,9.26,6.48,12.04,45499
113516,603323.XSHG,1.06,6.34,-,8.24,45505
128043,002793.XSHE,3.11,13.47,9.43,17.51,45506
113517,603019.XSHG,10.26,51.28,35.9,66.66,45510
