,,,,,,涨跌,,,价值,,价值,,价值,触发价,触发价,占比,持仓,,年限,税前收益,税后收益,收益,(万元),
128052,凯龙转债,168.75,-6.77%,凯龙股份,14.69,-7.90%,3.21,6.97,210.76,-19.93%,购买,AA,购买,4.88,9.06,6.70%,会员,2024/12/21,5.633,-6.63%,-7.06%,购买,60816.28,???
127009,冰轮转债,126.52,-5.33%,冰轮环境,8.15,-9.94%,1.88,5.52,147.64,-14.31%,购买,AA,购买,3.86,7.18,9.60%,会员,2025/1/14,5.699,-1.65%,-2.11%,购买,3882.16,???
127008,特发转债,173.352,-7.89%,特发信息,13.12,-10.01%,3.55,6.78,193.51,-10.42%,购买,AA,购买,4.75,8.81,5.10%,会员,2023/11/16,4.534,-9.38%,-9.78%,购买,23008.71,???
110050,佳都转债,119.73,-3.19%,佳都科技,10.14,-4.43%,4.57,7.95,127.55,-6.13%,购买,AA,购买,5.57,10.34,5.30%,会员,2024/12/18,5.625,-0.84%,-1.29%,购买,12209.37,???
128053,尚荣转债,105.688,-7.10%,尚荣医疗,5.46,-10.05%,1.63,4.94,110.53,-4.38%,购买,AA,购买,3.46,6.42,19.50%,会员,2025/2/14,5.784,1.54%,1.06%,购买,2441.61,???
128055,长青转2,111.67,-4.02%,长青股份,13.31,-5.33%,1.4,11.41,116.65,-4.27%,购买,AA,购买,7.99,14.83,12.70%,会员,2025/2/27,5.819,0.59%,0.11%,购买,1809.19,???
113520,百合转债,119.32,-3.60%,梦百合,23.4,-3.66%,3.05,19.03,122.96,-2.96%,购买,AA-,购买,13.32,24.74,9.00%,会员,2024/11/8,5.515,-0.57%,-1.07%,购买,1286.65,???
123016,洲明转债,120.321,-8.52%,洲明科技,11.72,-9.98%,3.63,9.45,124.02,-2.98%,购买,AA-,购买,6.62,12.29,6.10%,会员,2024/11/7,5.512,-0.71%,-1.21%,购买,3080.12,???
113526,联泰转债,108.49,-2.79%,联泰环保,13.65,-4.48%,2.47,12.31,110.89,-2.16%,购买,AA,购买,8.62,16,13.40%,会员,2025/1/22,5.721,0.42%,0.06%,购买,192.13,???
110044,广电转债?!,135.05,-10.24%,广电网络,9.41,-9.95%,2.05,6.91,136.18,-0.83%,购买,AA,购买,4.84,8.98,1.80%,会员,2024/6/27,5.148,-3.42%,-3.86%,购买,2602.68,???
128041,盛路转债,143.8,-10.35%,盛路通信,9.97,-10.02%,2.5,6.88,144.91,-0.77%,购买,AA,购买,4.82,8.94,1.10%,会员,2024/7/16,5.2,-4.21%,-4.70%,购买,1350.75,???
123006,东财转债?!,129,-10.31%,东方财富,14.75,-10.01%,4.38,11.36,129.84,-0.65%,购买,AA,购买,7.95,14.77,0.80%,会员,2023/12/20,4.627,-3.33%,-3.73%,购买,33504.39,???
113507,天马转债?!,117.13,-3.08%,天马科技,8.68,-3.13%,2.89,7.370*,117.77,-0.54%,购买,AA-,购买,5.16,9.58,4.40%,会员,2024/4/17,4.953,-0.75%,-1.22%,购买,169.62,???
113513,安井转债,123.8,-2.97%,安井食品,43.97,-3.28%,4.45,35.46,124,-0.16%,购买,AA-,购买,24.82,46.1,4.10%,会员,2024/7/12,5.189,-1.76%,-2.20%,购买,4015.27,???
113020,桐昆转债,117.78,-6.11%,桐昆股份,14.75,-10.01%,1.62,12.51,117.91,-0.11%,购买,AA+,购买,8.76,16.26,14.10%,会员,2024/11/19,5.545,-0.74%,-1.16%,购买,9590.04,???
123018,溢利转债,105.01,-1.91%,溢多利,8.83,-5.16%,1.69,8.41,104.99,0.02%,购买,AA-,购买,5.89,10.93,18.50%,会员,2024/12/20,5.63,1.71%,1.21%,购买,273,???
128036,金农转债,138.999,-8.55%,金新农,13.35,-9.31%,4.12,9.62,138.77,0.17%,购买,AA-,购买,6.73,12.51,3.60%,会员,2024/3/9,4.847,-4.63%,-5.01%,购买,19047.42,???
128038,利欧转债,118.211,-4.47%,利欧股份,2.03,-5.58%,1.71,1.720*,118.02,0.16%,购买,AA,购买,1.2,2.24,1.50%,会员,2024/3/22,4.882,-0.79%,-1.29%,购买,1755.09,???
113018,常熟转债?!,136.35,-3.53%,常熟银行,7.84,-3.92%,1.34,5.760*,136.11,0.18%,购买,AA+,购买,-,7.49,3.20%,会员,2024/1/19,4.71,-4.59%,-4.94%,购买,3675.06,???
123020,富祥转债,106.7,-4.13%,富祥股份,19.1,-7.95%,3.92,18.05,105.82,0.83%,购买,AA-,购买,12.63,23.46,9.80%,会员,2025/3/1,5.825,2.25%,1.61%,购买,2066.2,???
128062,亚药转债,101.511,-4.25%,亚太药业,16.38,-10.00%,3.56,16.3,100.49,1.02%,购买,AA,购买,11.41,21.19,11.00%,会员,2025/4/2,5.912,2.94%,2.33%,购买,5326.84,???
123002,国祯转债,116.41,-2.83%,国祯环保,10.02,-4.57%,2.4,8.720*,114.91,1.31%,购买,AA,购买,6.1,11.34,9.20%,会员,2023/11/24,4.556,-1.20%,-1.61%,购买,135.35,???
113523,伟明转债,106.6,-6.79%,伟明环保,25.01,-9.97%,5.19,23.92,104.56,1.95%,购买,AA,购买,16.74,31.1,3.90%,会员,2024/12/10,5.603,1.44%,0.94%,购买,1336.33,???
123013,横河转债,104.311,-5.77%,横河模具,9.47,-8.59%,5.16,9.26,102.27,2.00%,购买,A+,购买,6.48,12.04,1.80%,会员,2024/7/26,5.227,2.19%,1.61%,购买,245.82,???
110046,圆通转债,114,-5.24%,圆通速递,12.14,-8.79%,2.89,10.89,111.48,2.26%,购买,AA+,购买,7.62,14.16,10.60%,会员,2024/11/19,5.545,0.26%,-0.25%,购买,14120.9,???
113515,高能转债,110.32,-6.32%,高能环境,10.08,-8.36%,2.42,9.38,107.46,2.66%,购买,AA,购买,6.57,12.19,11.20%,会员,2024/7/26,5.227,0.52%,0.06%,购买,1224.29,???
