code,bond_name,bond_price,u1,stock_name,stock_price,u2,PB,convert_price,u3,u4,u5,rank,u6,back_sell_price,130_sell_price,bond_percentage,u7,expire,remaining_time,pretax_return,tax_return,back_sell_return,u8,u9
128052,凯龙转债,195.46400000000003,4.53%,凯龙股份,16.89,-2.26%,3.7,6.97,242.32,-19.34%,购买,AA,购买,4.88,9.06,5.80%,会员,2024/12/21,5.66,-9.03%,-9.44%,购买,18509.33,???
127009,冰轮转债,138.3,0.01%,冰轮环境,9.28,-2.01%,2.15,5.52,168.12,-17.74%,购买,AA,购买,3.86,7.18,8.40%,会员,2025/1/14,5.726,-3.18%,-3.63%,购买,854.84,???
127008,特发转债,207.11,2.53%,特发信息,16.6,-1.66%,4.49,6.78,244.84,-15.41%,购买,AA,购买,4.75,8.81,4.00%,会员,2023/11/16,4.562,-12.83%,-13.21%,购买,17327.04,???
110052,贵广转债,121.49,-1.60%,贵广网络,11.17,-2.19%,2.7,8.13,137.39,-11.57%,购买,AA+,购买,5.69,10.57,13.70%,会员,2025/3/5,5.8629999999999995,-0.36%,-0.92%,购买,2840.51,???
128063,未来转债,110.88,-0.73%,德尔未来,10.45,-2.43%,3.99,8.74,119.57,-7.27%,购买,AA-,购买,6.12,11.36,9.00%,会员,2025/4/3,5.942,2.60%,1.79%,购买,4232.08,???
110050,佳都转债,126.58,-0.39%,佳都科技,10.74,0.66%,4.84,7.95,135.09,-6.30%,购买,AA,购买,5.57,10.34,5.00%,会员,2024/12/18,5.652,-1.82%,-2.26%,购买,397.59,???
128053,尚荣转债,115.0,0.00%,尚荣医疗,6.01,1.35%,1.83,4.94,121.66,-5.47%,购买,AA,购买,3.46,6.42,17.70%,会员,2025/2/14,5.811,0.05%,-0.42%,购买,1181.05,???
123016,洲明转债,131.0,-0.09%,洲明科技,13.03,0.39%,4.71,9.45,137.88,-4.99%,购买,AA-,购买,6.62,12.29,5.50%,会员,2024/11/7,5.54,-2.25%,-2.74%,购买,141.91,???
113520,百合转债,130.65,0.35%,梦百合,26.15,1.51%,3.41,19.03,137.41,-4.92%,购买,AA-,购买,13.32,24.74,8.10%,会员,2024/11/8,5.542000000000001,-2.21%,-2.70%,购买,72.99,???
128055,长青转2,116.5,-0.34%,长青股份,13.96,1.75%,1.47,11.41,122.35,-4.78%,购买,AA,购买,7.99,14.83,18.20%,会员,2025/2/27,5.847,-0.15%,-0.62%,购买,1013.48,???
123020,富祥转债,116.0,-0.17%,富祥股份,21.9,3.35%,4.49,18.05,121.33,-4.39%,购买,AA-,购买,12.63,23.46,8.50%,会员,2025/3/1,5.852,0.75%,0.13%,购买,1595.83,???
123018,溢利转债,112.0,-0.18%,溢多利,9.85,-1.20%,2.01,8.41,117.12,-4.37%,购买,AA-,购买,5.89,10.93,16.60%,会员,2024/12/20,5.6579999999999995,0.52%,0.04%,购买,269.64,???
113020,桐昆转债,122.28,0.35%,桐昆股份,16.04,0.82%,1.82,12.63,127.0,-3.72%,购买,AA+,购买,8.84,16.42,13.00%,会员,2024/11/19,5.5729999999999995,-1.42%,-1.83%,购买,2583.58,???
113527,维格转债,109.36,-0.08%,维格娜丝,16.98,0.18%,1.27,14.96,113.5,-3.65%,购买,AA,购买,10.47,19.45,24.40%,会员,2025/1/23,5.751,1.76%,1.13%,购买,161.03,???
110046,圆通转债,118.99,-0.83%,圆通速递,13.41,-2.33%,3.3,10.89,123.14,-3.37%,购买,AA+,购买,7.62,14.16,9.60%,会员,2024/11/19,5.5729999999999995,-0.53%,-1.02%,购买,264.96,???
113523,伟明转债,114.5,0.29%,伟明环保,27.94,1.93%,5.8,23.92,116.81,-1.98%,购买,AA,购买,16.74,31.1,3.50%,会员,2024/12/10,5.63,0.13%,-0.36%,购买,115.89,???
