,bond_code,bond_name,if_conversion
0,128052,凯龙转债,N
1,127009,冰轮转债,N
2,127008,特发转债,N
3,110050,佳都转债,N
4,123018,溢利转债,N
5,128053,尚荣转债,N
6,128039,三力转债,Y
7,113526,联泰转债,N
8,128055,长青转2,N
9,113520,百合转债,N
10,123016,洲明转债,Y
11,113018,常熟转债?!,Y
12,128038,利欧转债,Y
13,128036,金农转债,Y
14,113513,安井转债,Y
15,113507,天马转债?!,Y
16,128041,盛路转债,Y
17,123012,万顺转债,Y
18,128043,东音转债,Y
19,123015,蓝盾转债,Y
20,128062,亚药转债,N
21,113015,隆基转债,Y
22,123013,横河转债,Y
23,128024,宁行转债,Y
24,128034,江银转债,Y
25,110040,生益转债,Y
26,110047,山鹰转债,N
27,123020,富祥转债,N
28,128049,华源转债,N
29,113533,参林转债,N
30,123001,蓝标转债,Y
31,123002,国祯转债,Y
32,128057,博彦转债,N
33,128025,特一转债,Y
34,110046,圆通转债,N
35,127007,湖广转债,Y
36,128048,张行转债,N
37,113516,苏农转债,Y
38,113523,伟明转债,N
39,110044,广电转债?!,Y
40,113529,绝味转债,N
41,110052,贵广转债,N
42,113517,曙光转债,Y
43,128050,钧达转债,N
44,113521,科森转债,N
45,110054,通威转债,N
46,113519,长久转债,N
47,113515,高能转债,Y
48,113020,桐昆转债,N
49,113514,威帝转债,Y
50,128058,拓邦转债,N
51,127005,长证转债,Y
52,110042,航电转债,Y
53,110049,海尔转债,N
54,128064,司尔转债,N
55,113527,维格转债,N
56,113008,电气转债,Y
57,128056,今飞转债,N
58,128047,光电转债,N
59,113532,海环转债,N
60,123021,万信转2,N
61,132018,G三峡EB1,Y
62,110033,国贸转债,Y
63,128027,崇达转债,Y
64,123004,铁汉转债,Y
65,123023,迪森转债,N
66,127010,平银转债,N
67,110041,蒙电转债,Y
68,123007,道氏转债,Y
69,123014,凯发转债,Y
70,123011,德尔转债,Y
71,128060,中装转债,N
72,113025,明泰转债,N
73,110053,苏银转债,N
74,113524,奇精转债,N
75,123009,星源转债,Y
76,128063,未来转债,N
77,123025,精测转债,N
78,110057,现代转债,N
79,113011,光大转债,Y
80,128059,视源转债,N
81,113531,百姓转债,Y
82,127012,招路转债,N
83,128030,天康转债,Y
84,127003,海印转债,Y
85,113528,长城转债,N
86,113026,核能转债,N
87,128044,岭南转债,Y
88,123019,中来转债,N
89,110043,无锡转债,Y
90,128061,启明转债,N
91,113525,台华转债,N
92,128033,迪龙转债,Y
93,110048,福能转债,N
94,110055,伊力转债,N
95,128040,华通转债,Y
96,128021,兄弟转债,Y
97,110058,永鼎转债,N
98,123024,岱勒转债,Y
99,128045,机电转债,Y
100,123010,博世转债,Y
101,113505,杭电转债,Y
102,128054,中宠转债,N
103,110051,中天转债,N
104,113510,再升转债,Y
105,128019,久立转2,Y
106,113012,骆驼转债,Y
107,128018,时达转债,Y
108,113511,千禾转债,Y
109,128016,雨虹转债,Y
110,113017,吉视转债,Y
111,113534,鼎胜转债,N
112,128042,凯中转债,Y
113,113016,小康转债,Y
114,123017,寒锐转债,N
115,127011,中鼎转2,N
116,113504,艾华转债,Y
117,113019,玲珑转债,Y
118,132005,15国资EB,Y
119,128015,久其转债,Y
120,113518,顾家转债,Y
121,113024,核建转债,N
122,127006,敖东转债,Y
123,128065,雅化转债,N
124,128022,众信转债,Y
125,113530,大丰转债,N
126,123022,长信转债,N
127,113522,旭升转债,N
128,113013,国君转债,Y
129,113509,新泉转债,Y
130,128051,光华转债,N
131,132014,18中化EBQ,Y
132,113508,新凤转债,Y
133,128026,众兴转债,Y
134,110034,九州转债,Y
135,110038,济川转债,Y
136,113021,中信转债,N
137,128020,水晶转债,Y
138,110056,亨通转债,N
139,128017,金禾转债,Y
140,128046,利尔转债,Y
141,128029,太阳转债,Y
142,113503,泰晶转债,Y
143,110045,海澜转债,Y
144,113009,广汽转债,Y
145,132013,17宝武EBQ,Y
146,128014,永东转债,Y
147,113022,浙商转债,N
148,128035,大族转债,Y
149,123003,蓝思转债,Y
150,110030,格力转债,Y
151,128037,岩土转债,Y
152,128032,双环转债,Y
153,132004,15国盛EB,Y
154,113502,嘉澳转债,Y
155,113014,林洋转债,Y
156,128028,赣锋转债,Y
157,127004,模塑转债,Y
158,128023,亚太转债,Y
