,,,,,,涨跌,,,价值,,价值,,价值,触发价,触发价,占比,持仓,,年限,税前收益,税后收益,收益,(万元),
128052,凯龙转债,169.8,-0.47%,凯龙股份,14.64,-1.88%,3.2,6.97,210.04,-19.16%,购买,AA,购买,4.88,9.06,6.70%,1.16%,2024/12/21,5.614,-6.75%,-7.19%,购买,2956.53,???
127009,冰轮转债,131.02,-1.50%,冰轮环境,8.42,-3.11%,1.77,5.52,152.54,-14.11%,购买,AA,购买,3.86,7.18,9.30%,2.44%,2025/1/14,5.679,-2.27%,-2.73%,购买,201.47,???
127008,特发转债,194.66,0.04%,特发信息,14.38,-0.83%,3.83,6.78,212.09,-8.22%,购买,AA,购买,4.75,8.81,3.90%,-,2023/11/16,4.515,-11.74%,-12.13%,购买,4165.1,???
110050,佳都转债,123,-1.01%,佳都科技,10.36,-1.43%,3.93,7.95,130.31,-5.61%,购买,AA,购买,5.57,10.34,5.20%,6.45%,2024/12/18,5.605,-1.32%,-1.77%,购买,77.14,???
123018,溢利转债,110.05,0.00%,溢多利,9.47,-0.63%,1.81,8.41,112.6,-2.26%,购买,AA-,购买,5.89,10.93,17.30%,0.00%,2024/12/20,5.611,0.85%,0.36%,购买,0,???
128053,尚荣转债,108.512,-0.09%,尚荣医疗,5.41,-1.64%,1.62,4.94,109.51,-0.91%,购买,AA,购买,3.46,6.42,19.60%,0.33%,2025/2/14,5.764,1.08%,0.60%,购买,139.4,???
128039,三力转债,126.6,4.65%,三力士,7.38,3.22%,2.48,5.840*,126.37,0.18%,购买,AA-,购买,4.09,7.59,6.50%,1.68%,2024/6/7,5.074,-2.68%,-3.04%,购买,2489.3,???
113526,联泰转债,114.1,1.88%,联泰环保,14.12,2.02%,2.55,12.31,114.7,-0.52%,购买,AA,购买,8.62,16,12.90%,-,2025/1/22,5.701,-0.47%,-0.83%,购买,19.26,???
128055,长青转2,116.4,-1.03%,长青股份,8.63,-4.32%,1.36,7.41,116.46,-0.05%,购买,AA,购买,5.19,9.63,19.60%,0.68%,2025/2/27,5.8,-0.14%,-0.61%,购买,11.04,???
113520,百合转债,124.42,0.00%,梦百合,23.74,-1.66%,2.97,19.03,124.75,-0.26%,购买,AA-,购买,13.32,24.74,8.90%,7.84%,2024/11/8,5.496,-1.34%,-1.84%,购买,19.32,???
123016,洲明转债,124,-0.48%,洲明科技,11.69,-1.60%,3.62,9.45,123.7,0.24%,购买,AA-,购买,6.62,12.29,6.20%,11.91%,2024/11/7,5.493,-1.26%,-1.76%,购买,1.1,???
113018,常熟转债?!,131.15,-0.73%,常熟银行,7.59,-1.04%,1.3,5.760*,131.77,-0.47%,购买,AA+,购买,-,7.49,2.70%,10.53%,2024/1/19,4.69,-3.81%,-4.16%,购买,65.4,???
128038,利欧转债,128.5,0.63%,利欧股份,2.21,0.00%,1.87,1.720*,128.49,0.01%,购买,AA,购买,1.2,2.24,1.30%,0.10%,2024/3/22,4.863,-2.51%,-3.00%,购买,277.03,???
128036,金农转债,151.8,0.01%,金新农,14.48,-0.82%,4.47,9.62,150.52,0.85%,购买,AA-,购买,6.73,12.51,3.10%,16.86%,2024/3/9,4.827,-6.41%,-6.78%,购买,917.71,???
113513,安井转债,131.99,0.01%,安井食品,46.5,-0.85%,4.7,35.46,131.13,0.66%,购买,AA-,购买,24.82,46.1,3.50%,55.58%,2024/7/12,5.17,-3.00%,-3.43%,购买,41.79,???
113507,天马转债?!,128.1,2.38%,天马科技,9.37,0.64%,2.87,7.370*,127.14,0.76%,购买,AA-,购买,5.16,9.58,4.00%,8.27%,2024/4/17,4.934,-2.57%,-3.03%,购买,12.57,???
128041,盛路转债,144.939,-0.02%,盛路通信,9.8,-2.20%,2.45,6.88,142.44,1.75%,购买,AA,购买,4.82,8.94,1.10%,0.89%,2024/7/16,5.181,-4.38%,-4.87%,购买,77.34,???
123012,万顺转债,113.001,-2.16%,万顺股份,7.15,-0.97%,1.26,6.47,110.51,2.25%,购买,AA-,购买,4.53,8.41,3.60%,9.05%,2024/7/20,5.192,-0.30%,-0.70%,购买,1.92,???
128043,东音转债,157,-0.51%,东音股份,17.04,-3.46%,3.93,11.130*,153.1,2.55%,购买,AA-,购买,7.79,14.47,6.20%,3.61%,2024/8/2,5.227,-5.81%,-6.29%,购买,668.59,???
