代码 股票名称 价格 今日净资产 市净率2 收益9 翻倍9
HK000998 中信银行 3.900 8.69 0.45 0.13 -0.8 
HK003618 重庆农商 3.663 7.27 0.50 0.14 -0.7 
HK001988 民生银行 4.813 9.85 0.49 0.11 0.2 
HK003988 中国银行 2.863 5.32 0.54 0.17 0.3 
HK001288 农业银行 2.863 4.76 0.60 0.18 0.6 
HK006818 光大银行 3.127 5.70 0.55 0.14 0.7 
HK003328 交通银行 5.173 8.86 0.58 0.14 1.1 
HK000939 建设银行 5.507 7.94 0.69 0.19 1.7 
SH600015 华夏银行 7.520 12.73 0.59 0.11 1.9 
HK001658 邮储银行 4.110 5.54 0.74 0.18 1.9 
SH601988 中国银行 3.700 5.32 0.70 0.17 2.0 
SH601328 交通银行 5.800 8.86 0.65 0.14 2.0 
SH601288 农业银行 3.590 4.76 0.75 0.18 2.1 
SH601818 光大银行 3.800 5.70 0.67 0.14 2.2 
SH600016 民生银行 6.010 9.85 0.61 0.11 2.3 
SH601998 中信银行 5.930 8.92 0.66 0.13 2.3 
SH601169 北京银行 5.610 8.54 0.66 0.11 2.3 
SH600000 浦发银行 11.500 15.96 0.72 0.16 2.4 
HK001398 工商银行 4.848 6.55 0.74 0.17 2.4 
SH601997 贵阳银行 8.780 9.62 0.91 0.24 2.6 
SH600926 杭州银行 8.060 9.89 0.81 0.18 2.7 
SH600919 江苏银行 6.810 8.88 0.77 0.16 2.8 
SH601229 上海银行 8.840 10.30 0.86 0.17 3.1 
SH601009 南京银行 8.480 8.97 0.95 0.20 3.2 
SH601166 兴业银行 18.290 22.34 0.82 0.16 3.2 
SH601939 建设银行 7.180 7.94 0.90 0.19 3.3 
SH601398 工商银行 5.600 6.55 0.86 0.17 3.3 
SZ002142 宁波银行 22.620 14.15 1.60 0.29 4.4 
HK003968 招商银行 33.902 21.32 1.59 0.24 5.1 
SH600036 招商银行 35.300 21.32 1.66 0.24 5.3 
SZ000001 平安银行 14.000 13.62 1.03 0.13 6.2
